transaction_id,customer_id,transaction_timestamp,product_category,total_amount,payment_method,country,is_returned
1,1102,2023-04-13,Clothing,328.71,Bank Transfer,France,0
2,1435,2023-09-30,Books,114.04,Credit Card,Germany,0
3,1860,2023-01-14,Home,69.78,PayPal,France,0
4,1270,2023-06-08,Home,353.68,Credit Card,Germany,0
5,1106,2023-06-01,Toys,65.59,Credit Card,UK,0
6,1071,2023-04-18,Home,498.49,Credit Card,USA,0
7,1700,2023-07-07,Electronics,99.89,PayPal,USA,0
8,1020,2023-10-28,Home,301.13,Bank Transfer,UK,0
9,1614,2023-04-08,Toys,211.57,PayPal,France,0
10,1121,2023-05-11,Books,71.93,Bank Transfer,India,0
11,1466,2023-10-20,Books,23.64,Credit Card,France,1
12,1214,2023-06-20,Home,315.14,Bank Transfer,USA,0
13,1330,2023-07-02,Clothing,405.31,Credit Card,India,0
14,1458,2023-12-30,Books,422.59,Credit Card,Germany,0
15,1087,2023-02-08,Home,246.53,PayPal,India,0
16,1372,2023-01-15,Toys,390.95,Credit Card,France,0
17,1099,2023-01-04,Home,339.7,PayPal,UK,0
18,1871,2023-12-15,Books,364.88,Bank Transfer,Germany,0
19,1663,2023-07-29,Toys,251.37,Bank Transfer,France,0
20,1130,2023-06-10,Home,320.37,Credit Card,Germany,0
21,1661,2023-01-16,Electronics,404.71,PayPal,India,0
22,1308,2023-04-18,Toys,204.96,Credit Card,USA,0
23,1769,2023-11-07,Electronics,404.93,PayPal,France,0
24,1343,2023-08-15,Clothing,300.09,PayPal,UK,0
25,1491,2023-06-19,Toys,91.29,PayPal,India,0
26,1413,2023-02-03,Electronics,22.1,Bank Transfer,France,1
27,1805,2023-09-08,Books,187.75,PayPal,UK,0
28,1385,2023-09-04,Books,277.88,Bank Transfer,France,0
29,1191,2023-09-26,Clothing,421.51,PayPal,India,1
30,1955,2023-05-21,Toys,72.47,Bank Transfer,France,0
31,1276,2023-10-01,Toys,402.1,Bank Transfer,Germany,0
32,1160,2023-04-06,Toys,432.87,Bank Transfer,India,0
33,1459,2023-08-15,Clothing,83.84,Credit Card,France,0
34,1313,2023-02-08,Toys,427.28,PayPal,USA,0
35,1021,2023-10-29,Books,495.81,Credit Card,France,0
36,1252,2023-01-29,Electronics,366.15,PayPal,Germany,0
37,1747,2023-11-14,Books,394.54,PayPal,UK,0
38,1856,2023-09-02,Books,497.26,Credit Card,UK,0
39,1560,2023-08-24,Electronics,306.69,Bank Transfer,UK,0
40,1474,2023-07-04,Books,160.86,PayPal,USA,0
41,1058,2023-09-29,Clothing,420.39,Bank Transfer,Germany,0
42,1510,2023-08-24,Electronics,311.1,Credit Card,India,0
43,1681,2023-08-27,Books,294.79,Bank Transfer,UK,0
44,1475,2023-09-23,Home,134.28,PayPal,Germany,0
45,1699,2023-12-25,Books,380.6,PayPal,France,0
46,1975,2023-12-06,Clothing,50.02,PayPal,USA,0
47,1782,2023-03-06,Toys,462.9,Credit Card,Germany,0
48,1189,2023-06-26,Books,169.65,PayPal,Germany,0
49,1957,2023-01-03,Toys,72.61,Credit Card,India,0
50,1686,2023-05-22,Home,226.76,Bank Transfer,Germany,0
51,1957,2023-06-07,Books,30.81,PayPal,India,0
52,1562,2023-11-20,Electronics,345.47,PayPal,USA,0
53,1875,2023-05-26,Toys,452.33,PayPal,USA,0
54,1566,2023-10-20,Home,420.26,Bank Transfer,France,0
55,1243,2023-06-02,Electronics,72.41,PayPal,India,1
56,1831,2023-07-12,Electronics,71.87,Credit Card,India,0
57,1504,2023-03-14,Electronics,408.58,Bank Transfer,UK,0
58,1130,2023-11-01,Electronics,462.88,Bank Transfer,UK,0
59,1484,2023-12-10,Books,235.73,Bank Transfer,France,0
60,1818,2023-05-20,Books,254.5,Bank Transfer,USA,0
61,1646,2023-07-06,Books,165.95,Bank Transfer,UK,0
62,1020,2023-10-20,Home,448.19,Credit Card,Germany,0
63,1840,2023-03-02,Home,326.0,Bank Transfer,USA,0
64,1166,2023-07-17,Home,151.24,PayPal,Germany,1
65,1273,2023-10-22,Clothing,156.4,Bank Transfer,India,1
66,1387,2023-11-15,Home,446.69,Bank Transfer,USA,0
67,1600,2023-10-29,Books,16.68,Bank Transfer,France,0
68,1315,2023-12-10,Books,168.14,Bank Transfer,India,0
69,1013,2023-01-11,Clothing,281.63,Bank Transfer,India,1
70,1241,2023-03-03,Clothing,82.63,Credit Card,Germany,0
71,1776,2023-11-29,Home,55.13,Credit Card,India,0
72,1345,2023-08-14,Toys,409.49,Bank Transfer,UK,1
73,1564,2023-06-02,Clothing,448.26,Credit Card,USA,0
74,1897,2023-07-18,Electronics,413.57,PayPal,UK,0
75,1339,2023-02-21,Books,450.41,Bank Transfer,Germany,0
76,1091,2023-09-17,Electronics,281.02,PayPal,Germany,1
77,1366,2023-02-28,Books,408.01,PayPal,USA,0
78,1955,2023-03-13,Books,198.18,Bank Transfer,India,0
79,1454,2023-05-28,Clothing,336.47,PayPal,France,0
80,1427,2023-12-15,Clothing,494.53,PayPal,Germany,0
81,1508,2023-03-04,Electronics,120.61,PayPal,USA,0
82,1775,2023-11-06,Books,201.05,Bank Transfer,France,0
83,1942,2023-08-31,Electronics,245.22,Bank Transfer,India,1
84,1034,2023-11-26,Toys,77.63,PayPal,Germany,0
85,1205,2023-04-17,Electronics,49.71,Bank Transfer,USA,0
86,1080,2023-08-14,Home,416.56,Bank Transfer,USA,0
87,1931,2023-11-09,Electronics,488.63,PayPal,USA,0
88,1561,2023-08-06,Home,208.32,Bank Transfer,Germany,0
89,1871,2023-08-29,Home,52.95,Credit Card,France,0
90,1387,2023-09-16,Home,42.25,Bank Transfer,USA,0
91,1001,2023-09-19,Toys,446.75,Credit Card,India,0
92,1389,2023-01-05,Electronics,237.27,PayPal,USA,0
93,1565,2023-09-18,Electronics,166.81,Bank Transfer,France,0
94,1105,2023-02-23,Toys,243.47,PayPal,Germany,1
95,1771,2023-02-16,Books,165.97,PayPal,USA,0
96,1821,2023-08-03,Clothing,249.63,PayPal,USA,0
97,1476,2023-06-26,Electronics,431.18,PayPal,India,0
98,1702,2023-01-09,Clothing,300.23,PayPal,India,0
99,1401,2023-04-09,Toys,350.38,Bank Transfer,USA,0
100,1729,2023-01-20,Books,188.69,Credit Card,USA,0
101,1555,2023-08-29,Books,371.87,Bank Transfer,India,0
102,1161,2023-03-02,Books,336.64,Bank Transfer,France,0
103,1201,2023-06-27,Toys,68.59,Bank Transfer,UK,0
104,1957,2023-12-04,Home,290.59,Bank Transfer,UK,0
105,1995,2023-03-03,Home,135.8,Credit Card,USA,0
106,1269,2023-05-25,Clothing,404.01,Bank Transfer,India,0
107,1862,2023-08-04,Home,218.71,PayPal,Germany,0
108,1815,2023-01-03,Home,497.4,Bank Transfer,Germany,0
109,1270,2023-06-09,Books,55.33,Bank Transfer,UK,0
110,1455,2023-08-15,Books,392.37,Credit Card,France,0
111,1461,2023-09-26,Clothing,340.11,Credit Card,UK,0
112,1726,2023-04-30,Electronics,386.07,PayPal,USA,1
113,1251,2023-03-30,Clothing,160.69,Bank Transfer,France,0
114,1701,2023-11-25,Clothing,251.11,Bank Transfer,Germany,0
115,1295,2023-03-09,Toys,400.29,Bank Transfer,India,0
116,1724,2023-12-23,Toys,123.95,PayPal,India,0
117,1719,2023-04-08,Clothing,120.76,Credit Card,USA,0
118,1748,2023-09-24,Clothing,280.01,PayPal,UK,0
119,1337,2023-04-15,Clothing,266.55,Bank Transfer,USA,0
120,1878,2023-11-19,Home,148.31,Credit Card,India,0
121,1052,2023-05-03,Toys,156.06,Credit Card,Germany,1
122,1791,2023-01-29,Clothing,146.14,PayPal,India,0
123,1921,2023-05-17,Books,388.04,Credit Card,France,0
124,1216,2023-07-14,Books,329.43,Credit Card,India,0
125,1763,2023-08-14,Home,417.88,Bank Transfer,India,0
126,1187,2023-11-28,Home,487.98,Bank Transfer,France,0
127,1379,2023-06-19,Electronics,242.34,Credit Card,UK,0
128,1492,2023-01-09,Electronics,42.68,Credit Card,India,0
129,1040,2023-02-09,Electronics,33.57,PayPal,USA,0
130,1156,2023-01-25,Home,154.88,PayPal,India,0
131,1014,2023-09-18,Home,466.95,Credit Card,USA,0
132,1812,2023-08-14,Home,266.37,Bank Transfer,France,0
133,1064,2023-05-04,Books,143.18,Credit Card,India,0
134,1856,2023-02-07,Home,205.59,Credit Card,France,0
135,1838,2023-11-24,Books,303.31,Bank Transfer,France,0
136,1520,2023-09-08,Electronics,329.95,Bank Transfer,UK,0
137,1343,2023-06-25,Electronics,85.42,PayPal,India,0
138,1128,2023-03-31,Electronics,488.75,PayPal,USA,0
139,1647,2023-02-06,Clothing,276.94,PayPal,USA,1
140,1471,2023-11-12,Clothing,76.49,PayPal,India,0
141,1062,2023-06-25,Toys,447.88,Bank Transfer,UK,0
142,1138,2023-10-11,Toys,46.57,Credit Card,UK,0
143,1498,2023-03-22,Toys,454.79,PayPal,UK,0
144,1592,2023-04-24,Clothing,498.32,PayPal,USA,1
145,1391,2023-02-09,Clothing,353.21,Bank Transfer,France,0
146,1674,2023-10-28,Toys,387.52,Bank Transfer,UK,0
147,1418,2023-08-12,Toys,175.28,Credit Card,USA,0
148,1288,2023-11-14,Home,471.37,Credit Card,USA,0
149,1378,2023-12-15,Toys,269.56,Bank Transfer,France,0
150,1772,2023-04-25,Home,368.87,PayPal,India,0
151,1489,2023-07-05,Books,462.81,PayPal,India,0
152,1230,2023-11-19,Clothing,487.84,PayPal,UK,0
153,1040,2023-02-25,Toys,418.27,Credit Card,UK,0
154,1027,2023-02-09,Clothing,158.48,PayPal,France,0
155,1134,2023-12-20,Clothing,483.61,PayPal,UK,1
156,1200,2023-02-09,Clothing,317.78,Bank Transfer,France,0
157,1839,2023-12-13,Books,466.01,PayPal,USA,0
158,1779,2023-08-25,Electronics,341.29,Bank Transfer,UK,0
159,1929,2023-10-16,Toys,160.55,PayPal,USA,0
160,1032,2023-09-19,Electronics,191.31,Credit Card,Germany,0
161,1047,2023-08-04,Electronics,279.73,PayPal,France,0
162,1502,2023-05-27,Electronics,397.11,PayPal,Germany,0
163,1406,2023-12-02,Clothing,165.81,Bank Transfer,UK,0
164,1573,2023-06-17,Home,294.07,Bank Transfer,USA,0
165,1727,2023-04-02,Clothing,179.36,Bank Transfer,UK,0
166,1804,2023-12-19,Clothing,409.73,PayPal,Germany,0
167,1098,2023-02-28,Electronics,238.7,PayPal,UK,0
168,1683,2023-02-28,Clothing,47.59,Credit Card,India,0
169,1871,2023-10-31,Electronics,91.37,PayPal,Germany,0
170,1725,2023-06-18,Home,39.94,Credit Card,UK,0
171,1986,2023-09-26,Toys,254.66,Bank Transfer,USA,0
172,1546,2023-12-29,Electronics,62.11,Bank Transfer,UK,0
173,1960,2023-02-14,Home,65.93,Bank Transfer,USA,0
174,1738,2023-12-11,Toys,471.11,Credit Card,India,0
175,1612,2023-06-30,Books,437.6,PayPal,UK,0
176,1942,2023-06-19,Electronics,231.52,Bank Transfer,India,0
177,1461,2023-12-22,Electronics,493.04,PayPal,Germany,1
178,1642,2023-07-10,Books,10.09,PayPal,USA,0
179,1768,2023-06-04,Books,310.85,Bank Transfer,Germany,0
180,1004,2023-07-07,Electronics,312.05,Credit Card,USA,0
